PORT FROM,PORT TO,Currency,Ocean freight charges per W/M
HKHKG1,INNSA1,USD,1.0
CNQSE1,INNSA1,USD,1.0
CNSGH1,INNSA1,USD,1.0
CNNBO1,INNSA1,USD,1.0
CNQIN1,INNSA1,USD,2.0
TWKEL1,INNSA1,USD,2.0
TWTXG1,INNSA1,USD,2.0
TWKHH1,INNSA1,USD,2.0
SGSIN1,INNSA1,USD,7.0
KRPUS1,INNSA1,USD,2.0
ITGOA1,INNSA1,USD,18.0
DEHAM1,INNSA1,USD,5.0
THBKK1,INNSA1,USD,5.0
GBTIL1,INNSA1,USD,18.0
AEDXB1,INNSA1,USD,5.0
BEANR1,INNSA1,USD,18.0
ESBCN1,INNSA1,USD,18.0
USNYC1,INNSA1,USD,60.0
USOUP6,INNSA1,USD,35.0
CNXAM1,INNSA1,USD,3.0
MYPKG1,INNSA1,USD,6.0
USLAX1,INNSA1,USD,75.0
USLGB1,INNSA1,USD,75.0
USHOU1,INNSA1,USD,85.0
USA2N6,INNSA1,USD,75.0
USCHI1,INNSA1,USD,75.0
